tool;type;value;source
NVivo;keyword;Both;TERESAH
OS Open Data;keyword;Both;TERESAH
Protégé;keyword;Both;TERESAH
Boxer;description;Boxer is an easy-to-use DOS emulator for Mac OSX intended specifically for playing old DOS games.;BambooDirt
bubbl.us;tool-type;Brainstorming;TERESAH
Instaviz;tool-type;Brainstorming;TERESAH
MindJet MindManager;tool-type;Brainstorming;TERESAH
MindMeister;tool-type;Brainstorming;TERESAH
MindMup;tool-type;Brainstorming;TERESAH
NovaMind;tool-type;Brainstorming;TERESAH
Padlet;tool-type;Brainstorming;TERESAH
Personal Brain;keyword;brainstorming;TERESAH
popplet;tool-type;Brainstorming;TERESAH
VUE;tool-type;Brainstorming;TERESAH
VideoANT;developer;Brandford Hosack;TERESAH
TokenX;developer;Brian L. Pytlik Zillig;TERESAH
WordCruncher;developer;Brigham Young University;TERESAH
Asset Bank;developer;Bright Interactive;TERESAH
Firebug;license;BSD;TERESAH
Flare;license;BSD;TERESAH
Mapstraction;license;BSD;TERESAH
Markdown;license;BSD;TERESAH
Modernizr;license;BSD;TERESAH
Modest Maps;license;BSD;TERESAH
OpenLayers;license;BSD;TERESAH
OpenRefine;license;BSD;TERESAH
Pattern;license;BSD;TERESAH
TiddlyWiki;license;BSD;TERESAH
Wavesurfer;license;BSD;TERESAH
VIVO;license;BSD;TERESAH
Wavesurfer;license;BSD variant;TERESAH
bubbl.us;description;bubbl.us is free web-based mind mapping software.;BambooDirt
BuddyPress;description;BuddyPress is a variant of WordPress that includes social networking features.;BambooDirt
BuzzData;description;BuzzData is a user-friendly, versatile data-sharing software.;BambooDirt
BBEdit;keyword;C;TERESAH
ERDAS Imagine;keyword;C;TERESAH
IBM AeroText;keyword;C;TERESAH
ImageMagik;keyword;C;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;keyword;C;TERESAH
Perl;keyword;C;TERESAH
PostgreSQL;keyword;C;TERESAH
Python;keyword;C;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;keyword;C#;TERESAH
GDAL;keyword;C++;TERESAH
ImageMagik;keyword;C++;TERESAH
Mercury Amira;keyword;C++;TERESAH
Perl;keyword;C++;TERESAH
Python;keyword;C++;TERESAH
RivEx;keyword;C++;TERESAH
OxCal;keyword;CALIB 14c;TERESAH
Calibre;description;Calibre is a free and open source ebook library management application, including options for syncing to devices and converting between a large number of formats.;BambooDirt
CamStudio;description;CamStudio is free and open source screencasting software that saves the video as AVI files, though a Flash converter is included.;BambooDirt
Camtasia;description;Camtasia is Mac/Windows software for recording screencasts.;BambooDirt
capella-scan;description;"capella-scan can ""OCR"" music scores from PDF or common image formats and output the results in MusicXML for use with common music editing software.";BambooDirt
Captivate;description;Captivate is software for recording audio and video of a user's screen. Users can import PowerPoint slides and add rich media, simulations, and quizzes, and publish them to learning management systems that support the SCORM standard.;BambooDirt
Capture Fox;description;Capture Fox is a Firefox plugin that allows the user to record their voice and their sccreen.;BambooDirt
QDA Miner;keyword;CAQDAS;TERESAH
Carrot2;description;Carrot2 is an open source search results clustering engine. It automatically organizes small collections of documents into categories.;BambooDirt
myHistro;keyword;Cartography;TERESAH
Open GRASS;keyword;Cartography;TERESAH
Quantum GIS;keyword;Cartography;TERESAH
BBEdit;keyword;Cascading Style Sheets (CSS);TERESAH
Drupal;keyword;Cascading Style Sheets (CSS);TERESAH
Casual;description;Casual allows you to search for a concept or common word and produces a unique cloud of concepts. Results are randomly displayed as definitions, related tags, and pictures.;BambooDirt
ArcGis;keyword;Cataloguing and indexing;TERESAH
CONTENTdm;keyword;Cataloguing and indexing;TERESAH
EPrints.org;keyword;Cataloguing and indexing;TERESAH
Exceed;keyword;Cataloguing and indexing;TERESAH
Fedora Commons;keyword;Cataloguing and indexing;TERESAH
FocusOPEN Digital Asset Manager;keyword;Cataloguing and indexing;TERESAH
GeoParser;keyword;Cataloguing and indexing;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;keyword;Cataloguing and indexing;TERESAH
Omeka.net;keyword;Cataloguing and indexing;TERESAH
Solr;keyword;Cataloguing and indexing;TERESAH
CATMA: Computer Aided Textual Markup & Analysis;description;"CATMA provides a visual interface for text markup and analysis using a ""query builder"" and more powerful query language. A number of statistical and non-statistical analyses are built-in.";BambooDirt
ARTISAN;keyword;cbir;TERESAH
brat rapid annotation tool;license;CC-BY;TERESAH
T-PEN (Transcription for Paleographical and Editorial Notation);developer;Center for Digital Theology at Saint Louis University;TERESAH
Omeka.net;developer;Center for History and New Media,George Mason University;TERESAH
AnSWR;developer;Centers for Disease Control and Prevention;TERESAH
RDB2Java;developer;Centre for Computing in the Humanities, King's College London;TERESAH
xMod;developer;Centre for Computing in the Humanities, King's College London;TERESAH
Stories Matter;developer;Centre for Oral History and Digital Storytelling at Concordia University;TERESAH
Wavesurfer;developer;Centre for Speech Technology (CTT), KTH;TERESAH
Proxémie;developer;Centre National de Ressources Textuelles et Lexicales (CNRTL);TERESAH
Cestagi;description;Cestagi is a collaborative platform that connects interdisciplinary communities. You can create a CV, share contributions, ask questions, learn about upcoming events, search employment opportunities, and track information.;BambooDirt
Cestagi;developer;Cestagi.com;TERESAH
Analyse-it;keyword;charts;TERESAH
Minitab;keyword;charts;TERESAH
Cheshire3;description;Cheshire3 is an open-source search engine designed for indexing records. Additionally there are plugins for text mining tasks such as Natural Language Processing, and searching of RDF (Resource Description Framework) files, as well as SQL data. It has a Python-based API.;HistoryOnline
CHET-C;description;CHET-C, or Chapel Hill Electronic Text-Converter, is a software tool designed to convert digital texts that employ standard typographic editorial conventions into EpiDoc-compliant XML files. A series of regular expressions are applied to the source document and the results are placed into a â€œshell fileâ€ (i.e., a template), which can be customised in advance. The regular expressions are stored in a separate configuration file to permit customisation, but this file is generated from regular expressions embedded in the EpiDoc Guidelines source files. This arrangement permits robust automated and user-driven self-tests within the EpiDoc webapp and facilitates a high degree of coordination across EpiDoc tools. Prior versions exist (MSAccess + VBA and Java, both now deprecated), but more recent development has focused on a JavaScript version that will run without plugins in a modern web browser.;BambooDirt
Chicken;description;Chicken (originally called Chicken of the VNC) is a VNC client, or Virtual Network Computing, that allows you to display and interact with a remote computer while displaying it on a remote screen.;BambooDirt
Chicken;keyword;Chicken of the VNC;TERESAH
Scratch;keyword;children;TERESAH
MMax2;developer;Christoph Muller;TERESAH
LibX;keyword;Chrome;TERESAH
Scholarometer;keyword;Chrome;TERESAH
NoteBook;developer;Circus Ponies;TERESAH
CONTENTdm;developer;CISO, Center for Information Systems Optimization;TERESAH
Papers;keyword;citation management;TERESAH
RefWorks;keyword;citation management;TERESAH
Wavesurfer;keyword;Citation Style Format (CSL);TERESAH
WebLicht;developer;CLARIN-D;TERESAH
CLAWS Tagger;keyword;CLAWS8 tag-set;TERESAH
Click2map ;description;Click2Map's 'Free Map Creator' provides an online user interface which helps create maps, to which users can add points of interest, display markers containing HTML content such as text and images, and lines/polygons. Maps can be downloaded or published on a website free of charge.;HistoryOnline
Chicken of the VNC;keyword;client;TERESAH
ImageMagik;keyword;Clipper Header (CH);TERESAH
Pattern;developer;CLiPS;TERESAH
Pie-Slice;developer;Clive Orton, UCL;TERESAH
Amazon Web Services;tool-type;Cloud computing;TERESAH
Dropbox;tool-type;Cloud computing;TERESAH
GeoCommons;tool-type;Cloud computing;TERESAH
Google Drive;tool-type;Cloud computing;TERESAH
Google fusion tables ;tool-type;Cloud computing;TERESAH
Hadoop;tool-type;Cloud computing;TERESAH
Scripto ;tool-type;Cloud computing;TERESAH
TextGrid ;tool-type;Cloud computing;TERESAH
Trello;tool-type;Cloud computing;TERESAH
Yahoo! Pipes ;tool-type;Cloud computing;TERESAH
Google Drive;keyword;cloud storage;TERESAH
Otixo;keyword;cloud storage;TERESAH
TextGrid;keyword;cloud storage;TERESAH
WordPress.com;keyword;cloud storage;TERESAH
Omeka.net;keyword;CMS;TERESAH
Solr;developer;CNET Networks;TERESAH
Pycoon;keyword;cocoon;TERESAH
WEFT QDA;keyword;coding;TERESAH
epcEdit;keyword;Coding and standardisation;TERESAH
Exceed;keyword;Coding and standardisation;TERESAH
MONK;keyword;Coding and standardisation;TERESAH
NVivo;keyword;Coding and standardisation;TERESAH
Pycoon;keyword;Coding and standardisation;TERESAH
SAXON;keyword;Coding and standardisation;TERESAH
Xalan;keyword;Coding and standardisation;TERESAH
myPeers;developer;codingseed;TERESAH
Adobe Dreamweaver;keyword;ColdFusion;TERESAH
Subversion Version System (SVN);developer;CollabNet;TERESAH
Academia;keyword;collaboration;TERESAH
arts-humanities.net;keyword;collaboration;TERESAH
brat rapid annotation tool;keyword;collaboration;TERESAH
Flashcard Machine;keyword;collaboration;TERESAH
H-Net;keyword;collaboration;TERESAH
Jumpchart;keyword;collaboration;TERESAH
Ning;keyword;collaboration;TERESAH
SCHED*;keyword;collaboration;TERESAH
Skype;keyword;collaboration;TERESAH
Social Science Research Network;keyword;collaboration;TERESAH
WikiPack;keyword;collaboration;TERESAH
Chicken;tool-type;Collaborative editing;TERESAH
iAnnotate;tool-type;Collaborative editing;TERESAH
Office 365;tool-type;Collaborative editing;TERESAH
TitanPad;tool-type;Collaborative editing;TERESAH
Wikidot;tool-type;Collaborative editing;TERESAH
Writeboard;tool-type;Collaborative editing;TERESAH
TitanPad;description;Collaborators can write and edit a document simultaneously. TitanPad does not currently work with iOS devices like Apple's iPad or iPhone.;BambooDirt
3DVIA Virtools;keyword;Collada;TERESAH
Juxta;keyword;collation;TERESAH
Tesserae;keyword;collation;TERESAH
Mediathread;developer;Columbia Center for New Media Teaching and Learning (CCNMTL);TERESAH
ArcGis;keyword;COM;TERESAH
Python;keyword;COM;TERESAH
RivEx;keyword;COM;TERESAH
ImageMagik;keyword;COM+;TERESAH
Tesseract;description;"Combined with the Leptonica Image Processing Library Tesseract can read a wide variety of image formats and convert them to text in over 40 languages.
This code is a raw OCR engine. It has no output formatting and no UI. It can detect fixed pitch vs proportional text. Nevertheless in 1995 this engine was in the top 3 in terms of character accuracy, and it compiles and runs on both Linux and Windows. Training code is included in the open source release.
The core developer on the project is Ray Smith (theraysmith).
Thomas Breuel (tmbdev) and Ilya Mezhirov (mezhirov) work on the OCRopus project, for which Tesseract is one of the pluggable OCR engines; OCRopus also provides layout analysis and statistical language modeling.
Most of the work on Tesseract is sponsored by Google.";BambooDirt
